country_name,country_code,indicator_name,indicator_code,year16
Ecuador,ECU,"Disbursements on external debt, long-term + IMF (DIS, current US$)",DT.DIS.DLTF.CD,10038962000
"Egypt, Arab Rep.",EGY,"PPG, bilateral (DOD, current US$)",DT.DOD.BLAT.CD,31712330000
"El Salvador",SLV,"PPG, bonds (DOD, current US$)",DT.DOD.PBND.CD,3339443000
Eritrea,ERI,"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD,557516000
Ethiopia,ETH,"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD,8157788000
"Europe & Central Asia",ECA,"Disbursements on external debt, long-term + IMF (DIS, current US$)",DT.DIS.DLTF.CD,235000000000
"Europe & Central Asia",ECA,"PPG, commercial banks (DOD, current US$)",DT.DOD.PCBK.CD,109000000000
Fiji,FJI,"PPG, bilateral (DOD, current US$)",DT.DOD.BLAT.CD,255856000
Gabon,GAB,"PPG, bonds (DOD, current US$)",DT.DOD.PBND.CD,2218129000
"Gambia, The",GMB,"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD,292964000
Georgia,GEO,"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD,3165568000
Ghana,GHA,"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD,4728611000
Grenada,GRD,"Disbursements on external debt, long-term + IMF (DIS, current US$)",DT.DIS.DLTF.CD,661977000
Guatemala,GTM,"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD,5197488000
Guinea,GIN,"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD,612175000
Guinea-Bissau,GNB,"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD,119687000
Guyana,GUY,"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD,693775000
Haiti,HTI,"PPG, bilateral (DOD, current US$)",DT.DOD.BLAT.CD,1845715000
Honduras,HND,"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD,3869529000
"IDA only",IDX,"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD,105000000000
India,IND,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,83821000000
Indonesia,IDN,"PPG, bonds (DOD, current US$)",DT.DOD.PBND.CD,115000000000
"Iran, Islamic Rep.",IRN,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,2794000000
Jamaica,JAM,"PPG, bonds (DOD, current US$)",DT.DOD.PBND.CD,5637156000
Jordan,JOR,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,10433940000
Kazakhstan,KAZ,"Disbursements on external debt, long-term + IMF (DIS, current US$)",DT.DIS.DLTF.CD,23825761000
Kenya,KEN,"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD,6987842000
