Country Name,Country Code,Indicator Name,Indicator Code,Year70,Year71,Year72,Year73,Year74,Year75,Year76,Year77,Year78,Year79,Year80,Year81,Year82,Year83,Year84,Year85,Year86,Year87,Year88,Year89,Year90,Year91,Year92,Year93,Year94,Year95,Year96,Year97,Year98,Year99,Year00,Year01,Year02,Year03,Year04,Year05,Year06,Year07,Year08,Year09,Year10,Year11,Year12,Year13,Year14,Year15,Year16
Bangladesh,BGD,"PPG, commercial banks (DOD, current US$)",DT.DOD.PCBK.CD,0,0,0,13136000,13178000,10091000,7006000,3920000,830000,0,0,0,4208000,3182000,2329000,2438000,3041000,2744000,1123000,393000,20811000,18037000,15263000,12487000,14829000,12410000,6809000,1208000,0,0,14816000,25788000,28658000,28555000,41289000,32287000,30067000,25854000,17736000,14520000,9707000,4894000,0,0,0,0,0
Bangladesh,BGD,"PPG, IBRD (DOD, current US$)",DT.DOD.MIBR.CD,0,0,0,0,54896000,54896000,54896000,54896000,54896000,54896000,54896000,54896000,54896000,54896000,49597000,54811000,61222000,70245000,65806000,62420000,63797000,64516000,59910000,57562000,57557000,54605000,46455000,38249000,35884000,30781000,23687000,17040000,12732000,7284000,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,0,0,3039000,91221000,203980000,294774000,416423000,504629000,607722000,770294000,926003000,1084810000,1270016000,1458754000,1677419000,2020940000,2449610000,2985180000,3187857000,3441074000,4094833000,4359849000,4534259000,4823657000,5378211000,5637768000,5712872000,5701127000,6167831000,6427941000,6431291000,6439008000,7062849000,8061818000,8894550000,8687879000,9297235000,10077298000,10612974000,10746036000,10653176000,10712228000,11159220000,11582988000,11417309000,11533584000,11890490000
Belarus,BLR,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968283000,1296123000,1693748000,1958927000,2082344000,2386479000,2703258000,2620197000,2798732000,3399006000,3779551000,4601439000,5300177000,6562104000,12526108000,15152844000,22078687000,28412148000,33932546000,33755736000,39573469000,40013831000,37934720000,37515486000
Belarus,BLR,"PPG, bonds (DOD, current US$)",DT.DOD.PBND.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19397000,19397000,19397000,1019397000,1800000000,1800000000,1800000000,1800000000,800000000,800000000
Belarus,BLR,"PPG, commercial banks (DOD, current US$)",DT.DOD.PCBK.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24162000,46251000,49365000,42350000,54839000,38362000,55513000,45150000,63685000,47962000,35757000,56718000,101634000,1207210000,1768006000,1445858000,1209736000,393966000,3430699000,4266022000,3698478000,4030419000,5775996000
Belarus,BLR,"PPG, IBRD (DOD, current US$)",DT.DOD.MIBR.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,101043000,115533000,120744000,123754000,134887000,122328000,105154000,91369000,89247000,83684000,73031000,58670000,49700000,42311000,42321000,255630000,291336000,317548000,424328000,556657000,589814000,641812000,724620000
Belize,BLZ,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,4085000,4339000,5070000,4826000,5274000,4827000,9166000,20670000,33313000,71829000,63043000,60228000,69804000,100640000,98759000,118126000,121871000,137195000,132277000,137218000,142753000,161782000,180961000,194553000,198666000,255158000,281537000,450096000,333460000,416579000,629902000,721981000,849529000,1061730000,964609000,1021919000,1053036000,1074411000,1274805000,1290299000,1303110000,1274029000,1195808000,1248229000,1286020000,1330547000,1344359000
Belize,BLZ,"PPG, bonds (DOD, current US$)",DT.DOD.PBND.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74941000,71870000,210867000,307890000,374515000,481507000,465723000,24378000,21997000,20957000,20958000,20958000,2958000,526502000,526502000,526502000,526502000
Belize,BLZ,"PPG, commercial banks (DOD, current US$)",DT.DOD.PCBK.CD,0,0,0,0,0,0,0,0,0,0,0,2000000,3732000,3910000,5360000,6581000,5383000,6512000,14265000,14052000,16393000,18924000,23416000,21961000,24263000,38668000,47857000,57726000,65304000,113279000,221307000,281404000,243646000,291698000,176942000,95136000,80012000,573037000,568557000,565510000,561157000,557175000,543907000,0,0,0,0
Belize,BLZ,"PPG, IBRD (DOD, current US$)",DT.DOD.MIBR.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,945000,2094000,5379000,7049000,9387000,9180000,13732000,17515000,18630000,19231000,20100000,25647000,29508000,32517000,39924000,41431000,41336000,39965000,43183000,44431000,41717000,38737000,35166000,30367000,25457000,20623000,16157000,11764000,9770000,10729000,11882000,12354000,13899000,16594000
Benin,BEN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,43207000,51047000,47314000,90483000,108806000,119207000,141218000,212373000,283897000,453817000,474870000,543225000,758278000,798440000,762602000,902876000,1038614000,1244497000,1170206000,1070155000,1119737000,1149708000,1198998000,1270599000,1382105000,1396512000,1377637000,1411354000,1433928000,1488491000,1399689000,1470317000,1608561000,1485973000,1612808000,1551744000,648365000,883286000,974330000,1317169000,1599164000,1868559000,2059616000,2013609000,2049873000,2189758000,2323370000
Benin,BEN,"PPG, commercial banks (DOD, current US$)",DT.DOD.PCBK.CD,0,100000,100000,68000,34000,0,0,0,0,0,0,0,3645000,2366000,1380000,1017000,397000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48916000
Benin,BEN,"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,377000,2563000,4974000,10812000,14960000,18971000,24900000,31934000,34331000,39797000,52030000,61954000,72772000,88557000,100244000,124460000,158221000,195576000,209028000,253380000,326048000,369780000,388742000,417889000,463769000,498253000,519941000,509767000,542785000,574392000,578385000,597575000,654006000,729466000,791436000,770800000,126088000,175648000,255435000,309173000,382606000,401777000,435370000,557308000,621713000,680457000,764505000
