country_name,country_code,indicator_name,indicator_code,year16,,,,,,
Malawi,MWI,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,1506568000,,,,,,
Malawi,MWI,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,1506568000,,,,,,
Malaysia,MYS,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,1.16E+11,,,,,,
Maldives,MDV,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,1014915000,,,,,,
Mali,MLI,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,3417890000,,,,,,
Mali,MLI,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,3417890000,,,,,,
Mauritania,MRT,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,3466386000,,,,,,
Mauritania,MRT,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,3466386000,,,,,,
Mauritania,MRT,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,3466386000,,,,,,
Mauritius,MUS,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,13219010000,,,,,,
Mexico,MEX,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,3.65E+11,,,,,,
Middle East & North Africa,MNA,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,1.64E+11,,,,,,
Middle income,MIC,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,4.95E+12,,,,,,
Middle income,MIC,"PPG, commercial banks (DOD, current US$)",DT.DOD.PCBK.CD,3.06E+11,,,,,,
Moldova,MDA,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,4270036000,,,,,,
Mongolia,MNG,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,21267674000,,,,,,
Montenegro,MNE,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,2504838000,,,,,,
Morocco,MAR,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,36587237000,,,,,,
Mozambique,MOZ,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,9180300000,,,,,,
Mozambique,MOZ,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,9180300000,,,,,,
Myanmar,MMR,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,5361068000,,,,,,
Nepal,NPL,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,3706344000,,,,,,
Nicaragua,NIC,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,9356301000,,,,,,
Niger,NER,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,2881830000,,,,,,
Niger,NER,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,2881830000,,,,,,
Niger,NER,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,2881830000,,,,,,
Nigeria,NGA,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,28898997000,,,,,,
Pakistan,PAK,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,58250875000,,,,,,
Panama,PAN,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,45930298000,,,,,,
Papua New Guinea,PNG,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,18927344000,,,,,,
Paraguay,PRY,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,11499458000,,,,,,
Peru,PER,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,60918594000,,,,,,
Philippines,PHL,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,61666512000,,,,,,
Romania,ROU,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,81692908000,,,,,,
Russian Federation,RUS,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,4.72E+11,,,,,,
Rwanda,RWA,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,2353295000,,,,,,
Rwanda,RWA,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,2353295000,,,,,,
Samoa,WSM,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,390070000,,,,,,
Samoa,WSM,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,390070000,,,,,,
Samoa,WSM,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,390070000,,,,,,
Sao Tome and Principe,STP,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,223854000,,,,,,
Sao Tome and Principe,STP,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,223854000,,,,,,
Sao Tome and Principe,STP,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,223854000,,,,,,
Senegal,SEN,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,6338065000,,,,,,
Serbia,SRB,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,27869654000,,,,,,
Sierra Leone,SLE,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,952843000,,,,,,
Sierra Leone,SLE,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,952843000,,,,,,
Solomon Islands,SLB,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,181968000,,,,,,
Somalia,SOM,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,1644529000,,,,,,
Somalia,SOM,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,1644529000,,,,,,
South Africa,ZAF,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,1.14E+11,,,,,,
South Asia,SAS,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,5.04E+11,,,,,,
South Asia,SAS,"PPG, private creditors (DOD, current US$)",DT.DOD.PRVT.CD,1.16E+11,,,,,,
Sri Lanka,LKA,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,38106302000,,,,,,
St. Lucia,LCA,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,437551000,,,,,,
St. Lucia,LCA,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,437551000,,,,,,
St. Vincent and the Grenadines,VCT,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,343119000,,,,,,
St. Vincent and the Grenadines,VCT,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,343119000,,,,,,
Sub-Saharan Africa,SSA,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,3.78E+11,,,,,,
Sudan,SDN,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,15515294000,,,,,,
Sudan,SDN,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,15515294000,,,,,,
Swaziland,SWZ,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,339084000,,,,,,
Swaziland,SWZ,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,339084000,,,,,,
Syrian Arab Republic,SYR,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,3497893000,,,,,,
Syrian Arab Republic,SYR,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,3497893000,,,,,,
Syrian Arab Republic,SYR,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,3497893000,,,,,,
Tajikistan,TJK,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,3843311000,,,,,,
Tanzania,TZA,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,13921490000,,,,,,
Thailand,THA,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,67402750000,,,,,,
